Price,Year,Kilometer,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Make,Location,Fuel Type
299000,2013,64983,3795.0,1680.0,1427.0,5.0,45.0,Ford,Mumbai,Diesel
570000,2017,92270,3955.0,1694.0,1544.0,5.0,40.0,Honda,Mumbai,Petrol
385000,2013,65000,3970.0,1682.0,1453.0,5.0,45.0,Volkswagen,Mumbai,Petrol
350000,2014,110000,3990.0,1680.0,1505.0,5.0,35.0,Honda,Warangal,Diesel
2345000,2017,47000,4825.0,1825.0,1480.0,5.0,70.0,Toyota,Delhi,Petrol
1650000,2022,10000,3985.0,1820.0,1844.0,4.0,57.0,Mahindra,Jalandhar,Petrol
1100000,2011,51500,4596.0,1770.0,1447.0,5.0,66.0,Mercedes-Benz,Hyderabad,Diesel
2900000,2018,35000,4385.0,1831.0,1608.0,5.0,64.0,Audi,Pune,Diesel
545000,2017,61518,3995.0,1745.0,1500.0,5.0,37.0,Maruti Suzuki,Noida,Petrol
2990000,2018,34000,4454.0,2044.0,1545.0,5.0,63.0,BMW,Delhi,Diesel
615000,2017,36058,3995.0,1745.0,1500.0,5.0,37.0,Maruti Suzuki,Mumbai,Petrol
890000,2016,88000,4270.0,1780.0,1630.0,5.0,60.0,Hyundai,Ahmedabad,Diesel
430000,2015,98112,4384.0,1699.0,1466.0,5.0,55.0,Volkswagen,Mumbai,Petrol
1650000,2013,58000,4596.0,1770.0,1447.0,5.0,66.0,Mercedes-Benz,Bangalore,Diesel
1599000,2015,92355,4825.0,1825.0,1480.0,5.0,65.0,Toyota,Mumbai,Petrol
691000,2019,16652,3995.0,1735.0,1515.0,5.0,37.0,Maruti Suzuki,Ahmedabad,Petrol
650000,2016,76584,4331.0,1822.0,1671.0,5.0,50.0,Nissan,Mumbai,Diesel
669000,2016,70000,3995.0,1790.0,1640.0,5.0,48.0,Maruti Suzuki,Mohali,Diesel
16200000,2022,2766,4931.0,1983.0,1676.0,4.0,75.0,Porsche,Mumbai,Petrol
5100000,2017,56000,4686.0,1810.0,1409.0,4.0,59.0,Mercedes-Benz,Ghaziabad,Petrol
525000,2015,68766,3985.0,1734.0,1505.0,5.0,45.0,Hyundai,Mumbai,Petrol
750000,2018,16339,4375.0,1700.0,1475.0,5.0,43.0,Hyundai,Kolkata,Petrol
445000,2016,63882,3990.0,1680.0,1505.0,5.0,35.0,Honda,Mumbai,Petrol
493000,2012,28732,4540.0,1760.0,1480.0,5.0,55.0,Toyota,Zirakpur,Petrol
611000,2017,51349,3985.0,1734.0,1505.0,5.0,45.0,Hyundai,Nagpur,Petrol
475000,2014,61866,3765.0,1660.0,1520.0,5.0,43.0,Hyundai,Thane,Petrol
925000,2017,29401,4270.0,1780.0,1630.0,5.0,60.0,Hyundai,Mumbai,Petrol
1325000,2012,98580,4915.0,1874.0,1455.0,5.0,65.0,Audi,Goa,Diesel
3900000,2021,8000,4454.0,2044.0,1545.0,5.0,63.0,BMW,Delhi,Diesel
1299000,2020,31348,3995.0,1821.0,1627.0,5.0,42.0,Mahindra,Bangalore,Diesel
580000,2018,28851,3840.0,1735.0,1530.0,5.0,37.0,Maruti Suzuki,Kolkata,Diesel
1575000,2021,8519,3985.0,1820.0,1844.0,4.0,57.0,Mahindra,Mumbai,Petrol
375000,2011,78000,4420.0,1695.0,1480.0,5.0,42.0,Honda,Pune,Petrol
2250000,2015,48000,4879.0,1854.0,1474.0,5.0,80.0,Mercedes-Benz,Mumbai,Diesel
1400000,2014,143000,4705.0,1840.0,1850.0,7.0,80.0,Toyota,Faridabad,Diesel
425000,2017,39000,3995.0,1706.0,1570.0,5.0,44.0,Tata,Ranchi,Diesel
425000,2014,24000,4386.0,1699.0,1466.0,5.0,55.0,Skoda,Mumbai,Petrol
250000,2015,62000,3395.0,1490.0,1475.0,5.0,35.0,Maruti Suzuki,Kanpur,Petrol
425000,2012,78000,4265.0,1695.0,1685.0,7.0,45.0,Maruti Suzuki,Jalandhar,Diesel
235000,2014,82000,3795.0,1680.0,1427.0,5.0,45.0,Ford,Ludhiana,Diesel
3050000,2020,40910,4456.0,1796.0,1416.0,5.0,50.0,Audi,Bangalore,Diesel
2145000,2020,10290,4598.0,1894.0,1706.0,5.0,50.0,Tata,Bangalore,Diesel
1245000,2021,10530,3995.0,1775.0,1505.0,5.0,37.0,Hyundai,Bangalore,Petrol
549000,2015,61900,3985.0,1734.0,1505.0,5.0,45.0,Hyundai,Gurgaon,Petrol
484999,2013,78000,3970.0,1682.0,1453.0,5.0,45.0,Volkswagen,Bangalore,Diesel
415000,2014,57402,3995.0,1695.0,1555.0,5.0,42.0,Maruti Suzuki,Delhi,Petrol
375000,2015,87500,3765.0,1660.0,1520.0,5.0,43.0,Hyundai,Gurgaon,Petrol
1875000,2022,18000,4300.0,1790.0,1635.0,5.0,50.0,Hyundai,Delhi,Petrol
2950000,2020,10700,4318.0,1805.0,1548.0,5.0,55.0,Audi,Ahmedabad,Petrol
4900000,2018,78000,5052.0,1968.0,1740.0,7.0,75.0,Audi,Chandigarh,Diesel
1050000,2020,16282,3995.0,1775.0,1505.0,5.0,37.0,Hyundai,Pune,Petrol
470000,2013,66000,4370.0,1700.0,1475.0,5.0,43.0,Hyundai,Amritsar,Diesel
345000,2017,72019,3599.0,1495.0,1700.0,5.0,35.0,Maruti Suzuki,Ranchi,Petrol
550000,2007,92170,4495.0,1817.0,1975.0,7.0,60.0,Mahindra,Ranchi,Diesel
484999,2018,55221,3765.0,1660.0,1520.0,5.0,43.0,Hyundai,Mumbai,Petrol
3350000,2018,25000,4795.0,1855.0,1835.0,7.0,80.0,Toyota,Noida,Diesel
5651000,2022,1,4663.0,1898.0,1659.0,5.0,70.0,Audi,Delhi,Petrol
890000,2020,23500,4360.0,1822.0,1695.0,5.0,50.0,Renault,Chennai,Petrol
325000,2012,68000,3995.0,1695.0,1555.0,5.0,42.0,Maruti Suzuki,Kanpur,Petrol
1390000,2019,29096,4270.0,1780.0,1665.0,5.0,55.0,Hyundai,Mumbai,Petrol
459999,2016,61223,3765.0,1660.0,1520.0,5.0,43.0,Hyundai,Kanpur,Petrol
1075000,2017,86000,4395.0,1818.0,1640.0,5.0,60.0,Jeep,Ludhiana,Diesel
484999,2013,87000,4440.0,1729.0,1475.0,5.0,45.0,Hyundai,Ludhiana,Diesel
385000,2013,79287,3995.0,1710.0,1505.0,5.0,45.0,Hyundai,Kanpur,Petrol
3900000,2018,48945,4933.0,1874.0,1455.0,5.0,75.0,Audi,Goa,Diesel
1050000,2019,17000,4585.0,1866.0,1774.0,8.0,45.0,Mahindra,Lucknow,Diesel
1575000,2019,55000,4315.0,1800.0,1645.0,5.0,50.0,Kia,Lucknow,Diesel
655000,2016,38779,3995.0,1745.0,1500.0,5.0,37.0,Maruti Suzuki,Mumbai,Petrol
4500000,2019,72000,5063.0,1860.0,1494.0,5.0,80.0,Mercedes-Benz,Pune,Diesel
865000,2016,67000,4296.0,1695.0,1685.0,7.0,45.0,Maruti Suzuki,Navi Mumbai,Diesel
699000,2017,67000,4370.0,1700.0,1475.0,5.0,43.0,Hyundai,Navi Mumbai,Petrol
425000,2012,70000,4370.0,1700.0,1475.0,5.0,43.0,Hyundai,Jalandhar,Diesel
6500000,2020,6000,4600.0,2069.0,1724.0,7.0,70.0,Land Rover,Hyderabad,Diesel
2900000,2017,46000,4795.0,1855.0,1835.0,7.0,80.0,Toyota,Delhi,Diesel
4550000,2017,34000,4819.0,2141.0,1796.0,5.0,93.0,Mercedes-Benz,Navi Mumbai,Diesel
490000,2015,23103,3995.0,1660.0,1520.0,5.0,43.0,Hyundai,Udupi,Petrol
11500000,2016,27000,5453.0,1899.0,1498.0,4.0,70.0,Mercedes-Benz,Delhi,Petrol
1475000,2019,9576,4270.0,1780.0,1665.0,5.0,55.0,Hyundai,Bangalore,Petrol
1729000,2020,27000,4655.0,1835.0,1760.0,5.0,60.0,MG,Panvel,Petrol
1764999,2021,1942,4323.0,1809.0,1650.0,5.0,48.0,MG,Bangalore,Petrol
250000,2006,119300,4630.0,1780.0,1710.0,5.0,58.0,Honda,Pune,Petrol
245000,2016,55000,3395.0,1490.0,1475.0,5.0,35.0,Maruti Suzuki,Faridabad,Petrol
490000,2015,98000,4315.0,1822.0,1695.0,5.0,50.0,Renault,Jamshedpur,Diesel
550000,2017,61400,3765.0,1660.0,1520.0,5.0,43.0,Hyundai,Aurangabad,Petrol
675000,2016,87693,4440.0,1695.0,1495.0,5.0,40.0,Honda,Pune,Petrol
2225000,2015,31000,4686.0,1810.0,1442.0,5.0,66.0,Mercedes-Benz,Mumbai,Petrol
560000,2016,75210,3985.0,1734.0,1505.0,5.0,40.0,Hyundai,Ahmedabad,Diesel
225000,2012,69000,4000.0,1642.0,1522.0,5.0,45.0,Skoda,Mumbai,Petrol
499000,2014,88000,4386.0,1699.0,1466.0,5.0,55.0,Skoda,Pune,Diesel
1055000,2020,15000,3995.0,1790.0,1647.0,5.0,45.0,Kia,Kolkata,Petrol
2048999,2020,45350,4585.0,1890.0,1785.0,7.0,70.0,Mahindra,Bangalore,Diesel
2775000,2018,68189,4633.0,1811.0,1429.0,5.0,57.0,BMW,Jaipur,Diesel
1650000,2015,75000,4417.0,1804.0,1494.0,5.0,50.0,Mercedes-Benz,Faridabad,Diesel
350000,2013,45000,3539.0,1495.0,1700.0,5.0,35.0,Maruti Suzuki,Pune,Petrol
1450000,2014,33000,4915.0,1874.0,1455.0,5.0,65.0,Audi,Faridabad,Diesel
600000,2014,83000,4430.0,1817.0,1975.0,8.0,60.0,Mahindra,Rudrapur,Diesel
1675000,2014,211000,4705.0,1840.0,1850.0,7.0,80.0,Toyota,Jaipur,Diesel
575000,2015,67000,3985.0,1734.0,1505.0,5.0,45.0,Hyundai,Hyderabad,Petrol
699000,2017,75000,3999.0,1765.0,1708.0,5.0,52.0,Ford,Mumbai,Diesel
2450000,2014,48600,5089.0,1983.0,1737.0,6.0,100.0,Audi,Nashik,Diesel
2775000,2016,48000,4686.0,1810.0,1442.0,5.0,66.0,Mercedes-Benz,Delhi,Diesel
430000,2020,5790,3565.0,1520.0,1564.0,5.0,27.0,Maruti Suzuki,Hyderabad,Petrol
1165000,2018,32000,4456.0,1820.0,1995.0,7.0,60.0,Mahindra,Patna,Diesel
1780000,2020,65433,4655.0,1835.0,1760.0,5.0,60.0,MG,Lucknow,Diesel
295000,2011,87230,3760.0,1690.0,1530.0,5.0,43.0,Maruti Suzuki,Hyderabad,Diesel
495000,2017,38258,3840.0,1735.0,1530.0,5.0,37.0,Maruti Suzuki,Varanasi,Diesel
975000,2019,56881,4440.0,1695.0,1495.0,5.0,40.0,Honda,Lucknow,Petrol
645000,2013,76000,4555.0,1770.0,1755.0,7.0,55.0,Toyota,Kanpur,Diesel
425000,2014,72000,4315.0,1822.0,1695.0,5.0,50.0,Renault,Ludhiana,Diesel
1350000,2012,72000,4385.0,1831.0,1608.0,5.0,64.0,Audi,Hyderabad,Diesel
3200000,2014,60514,4781.0,1911.0,1774.0,5.0,95.0,Mercedes-Benz,Pune,Diesel
1250000,2013,71141,4370.0,1783.0,1458.0,5.0,60.0,Volvo,Navi Mumbai,Diesel
5600000,2018,40937,4899.0,2094.0,1464.0,5.0,65.0,BMW,Chennai,Diesel
560000,2013,37000,3995.0,1695.0,1555.0,5.0,42.0,Maruti Suzuki,Salem,Diesel
1221000,2019,46000,4456.0,1820.0,1995.0,7.0,60.0,Mahindra,Patna,Diesel
295000,2009,70200,4420.0,1695.0,1480.0,5.0,42.0,Honda,Mumbai,Petrol
1300000,2012,64800,4596.0,1770.0,1447.0,5.0,66.0,Mercedes-Benz,Delhi,Petrol
950000,2016,73000,4270.0,1780.0,1630.0,5.0,60.0,Hyundai,Dehradun,Diesel
1350000,2012,72000,4868.0,1854.0,1471.0,5.0,80.0,Mercedes-Benz,Vadodara,Diesel
2682000,2015,76345,4804.0,2141.0,1796.0,5.0,70.0,Mercedes-Benz,Gurgaon,Diesel
286000,2017,40564,3395.0,1490.0,1475.0,5.0,35.0,Maruti Suzuki,Jamshedpur,Petrol
340000,2013,98500,3995.0,1710.0,1505.0,5.0,45.0,Hyundai,Chandigarh,Diesel
1125000,2020,46807,4413.0,1699.0,1466.0,5.0,55.0,Skoda,Bangalore,Petrol
580000,2018,81000,3994.0,1811.0,1607.0,5.0,44.0,Tata,Valsad,Petrol
495000,2015,13716,3995.0,1695.0,1555.0,5.0,42.0,Maruti Suzuki,Pune,Petrol
550000,2014,89000,3995.0,1695.0,1555.0,5.0,42.0,Maruti Suzuki,Chennai,Diesel
1485000,2021,13000,3995.0,1790.0,1647.0,5.0,45.0,Kia,Mumbai,Diesel
885000,2018,38000,4413.0,1699.0,1466.0,5.0,55.0,Skoda,Bangalore,Petrol
3650000,2012,25500,4649.0,1860.0,1366.0,5.0,64.0,Audi,Mumbai,Petrol
715000,2020,17000,3805.0,1680.0,1520.0,5.0,37.0,Hyundai,Bangalore,Petrol
2485000,2012,44724,5157.0,2183.0,1659.0,7.0,80.0,Mercedes-Benz,Bangalore,Petrol
2250000,2020,24549,4735.0,1830.0,1795.0,7.0,55.0,Toyota,Jaipur,Diesel
1050000,2017,97000,4270.0,1780.0,1630.0,5.0,60.0,Hyundai,Zirakpur,Diesel
3600000,2018,7800,4795.0,1855.0,1835.0,7.0,80.0,Toyota,Mumbai,Diesel
295000,2010,78000,4420.0,1695.0,1480.0,5.0,42.0,Honda,Zirakpur,Petrol
375000,2019,55000,3679.0,1579.0,1478.0,5.0,28.0,Renault,Varanasi,Petrol
7200000,2021,20000,4915.0,1874.0,1455.0,5.0,75.0,Audi,Bangalore,Petrol
2395000,2021,13594,4661.0,1894.0,1786.0,6.0,50.0,Tata,Bangalore,Diesel
1775000,2014,75000,4915.0,1874.0,1455.0,5.0,65.0,Audi,Ahmedabad,Diesel
275000,2011,65000,3715.0,1680.0,1620.0,5.0,43.0,Maruti Suzuki,Mumbai,Diesel
325000,2014,43037,3610.0,1680.0,1500.0,5.0,35.0,Honda,Haldwani,Petrol
425000,2013,26000,3850.0,1695.0,1530.0,5.0,42.0,Maruti Suzuki,Delhi,Diesel
1475000,2020,78000,4456.0,1820.0,1995.0,7.0,60.0,Mahindra,Yamunanagar,Diesel
1580000,2018,115000,4735.0,1830.0,1795.0,7.0,55.0,Toyota,Delhi,Diesel
869000,2021,8700,3995.0,1695.0,1501.0,5.0,35.0,Honda,Mangalore,Petrol
5850000,2019,31000,4819.0,2141.0,1796.0,5.0,93.0,Mercedes-Benz,Mumbai,Diesel
1900000,2020,41736,4395.0,1818.0,1640.0,5.0,60.0,Jeep,Ahmedabad,Diesel
9000000,2017,40000,5005.0,1981.0,1693.0,5.0,80.0,Maserati,Chennai,Diesel
3550000,2020,55000,4795.0,1855.0,1835.0,7.0,80.0,Toyota,Delhi,Diesel
3500000,2014,160000,4846.0,1939.0,1702.0,5.0,100.0,Porsche,Mumbai,Petrol
2425000,2022,11000,4735.0,1830.0,1795.0,7.0,55.0,Toyota,Agra,Diesel
750000,2011,117000,4695.0,1840.0,1850.0,7.0,80.0,Toyota,Agra,Diesel
2200000,2014,95000,5089.0,1983.0,1737.0,7.0,100.0,Audi,Lucknow,Diesel
390000,2018,18000,3545.0,1490.0,1475.0,5.0,35.0,Maruti Suzuki,Lucknow,Petrol
540000,2015,38000,4490.0,1730.0,1485.0,5.0,43.0,Maruti Suzuki,Mumbai,Petrol
699000,2018,43000,3840.0,1735.0,1530.0,5.0,37.0,Maruti Suzuki,Mumbai,Diesel
484999,2013,107000,4370.0,1700.0,1475.0,5.0,43.0,Hyundai,Chandigarh,Diesel
7500000,2021,13000,4702.0,1810.0,1434.0,4.0,66.0,Mercedes-Benz,Delhi,Petrol
850000,2011,85000,4868.0,1854.0,1471.0,5.0,90.0,Mercedes-Benz,Mohali,Diesel
1085000,2018,8922,3994.0,1811.0,1607.0,5.0,44.0,Tata,Bangalore,Petrol
319000,2013,47800,3395.0,1490.0,1475.0,5.0,35.0,Maruti Suzuki,Dharwad,Petrol
549000,2012,143000,4585.0,1890.0,1785.0,7.0,70.0,Mahindra,Mohali,Diesel
1725000,2019,68758,4598.0,1894.0,1706.0,5.0,50.0,Tata,Hyderabad,Diesel
475000,2015,72000,4386.0,1683.0,1603.0,7.0,42.0,Honda,Agra,Diesel
890000,2022,7500,3827.0,1742.0,1615.0,5.0,37.0,Tata,Mumbai,Petrol
235000,2012,37000,3539.0,1495.0,1700.0,5.0,35.0,Maruti Suzuki,Mumbai,Petrol
445000,2016,22402,3765.0,1660.0,1520.0,5.0,43.0,Hyundai,Mumbai,Petrol
1060000,2019,12382,4440.0,1695.0,1495.0,5.0,40.0,Honda,Pune,Petrol
690000,2017,61000,3995.0,1745.0,1500.0,5.0,37.0,Maruti Suzuki,Surat,Diesel
4200000,2018,90868,4731.0,2071.0,1651.0,5.0,82.0,Jaguar,Chennai,Diesel
12500000,2022,22010,4879.0,2073.0,1803.0,5.0,104.0,Land Rover,Mohali,Petrol
1750000,2015,72000,4705.0,1840.0,1850.0,7.0,80.0,Toyota,Jaipur,Diesel
395000,2018,75500,3679.0,1579.0,1478.0,5.0,28.0,Renault,Raipur,Petrol
2790000,2018,25000,4439.0,1821.0,1612.0,5.0,51.0,BMW,Chennai,Diesel
2475000,2018,38000,4385.0,1831.0,1608.0,5.0,64.0,Audi,Delhi,Diesel
145000,2009,39586,3520.0,1475.0,1690.0,5.0,35.0,Maruti Suzuki,Ranchi,Petrol
750000,2018,33647,3985.0,1734.0,1505.0,5.0,40.0,Hyundai,Mumbai,Petrol
950000,2016,86000,4585.0,1890.0,1785.0,7.0,70.0,Mahindra,Lucknow,Diesel
569000,2018,57847,3765.0,1660.0,1520.0,5.0,43.0,Hyundai,Bangalore,Petrol
470000,2016,74000,3995.0,1695.0,1555.0,5.0,42.0,Maruti Suzuki,Ranchi,Petrol
5350000,2015,58000,4846.0,2155.0,1705.0,5.0,85.0,Porsche,Chandigarh,Diesel
450000,2014,85000,4331.0,1822.0,1671.0,5.0,50.0,Nissan,Hyderabad,Diesel
299000,2016,26000,3679.0,1579.0,1478.0,5.0,28.0,Renault,Mumbai,Petrol
1875000,2020,18000,4300.0,1790.0,1635.0,5.0,50.0,Hyundai,Mumbai,Petrol
1825000,2022,11000,3985.0,1820.0,1844.0,4.0,57.0,Mahindra,Mumbai,Diesel
4459000,2018,57300,4600.0,2069.0,1724.0,7.0,65.0,Land Rover,Indore,Diesel
1195000,2010,74000,4841.0,1846.0,1468.0,5.0,70.0,BMW,Mumbai,Diesel
790000,2019,25000,3995.0,1745.0,1510.0,5.0,37.0,Toyota,Delhi,Petrol
1095000,2017,39000,4270.0,1780.0,1630.0,5.0,60.0,Hyundai,Hyderabad,Petrol
1950000,2020,45000,4735.0,1830.0,1795.0,7.0,55.0,Toyota,Ludhiana,Diesel
525000,2015,80852,3970.0,1682.0,1453.0,5.0,45.0,Volkswagen,Faridabad,Petrol
2100000,2018,75592,4825.0,1860.0,1840.0,7.0,65.0,Isuzu,Hyderabad,Diesel
270000,2014,54420,3620.0,1475.0,1460.0,5.0,35.0,Maruti Suzuki,Jamshedpur,Petrol
894999,2015,39780,4620.0,1775.0,1475.0,5.0,55.0,Toyota,Mumbai,Petrol
335000,2013,78301,3585.0,1595.0,1550.0,5.0,35.0,Hyundai,Pune,Petrol
1000000,2018,38000,4788.0,1903.0,1791.0,7.0,60.0,Tata,Mumbai,Diesel
220000,2009,126535,3565.0,1595.0,1550.0,5.0,35.0,Hyundai,Hyderabad,Petrol
960000,2016,37079,4270.0,1780.0,1630.0,5.0,60.0,Hyundai,Thane,Petrol
7200000,2018,87200,5130.0,1934.0,1850.0,7.0,100.0,Mercedes-Benz,Bangalore,Diesel
1300000,2014,51000,4385.0,1831.0,1608.0,5.0,64.0,Audi,Raipur,Diesel
375000,2013,39000,3970.0,1682.0,1453.0,5.0,45.0,Volkswagen,Delhi,Petrol
3299000,2017,29999,4795.0,1967.0,1416.0,5.0,56.0,Jaguar,Bangalore,Diesel
565000,2014,100472,4810.0,1918.0,1925.0,7.0,65.0,Tata,Ranchi,Diesel
1798999,2016,84700,4385.0,1831.0,1608.0,5.0,64.0,Audi,Karnal,Diesel
189000,2008,19759,3495.0,1475.0,1460.0,5.0,35.0,Maruti Suzuki,Chennai,Petrol
545000,2014,56000,4370.0,1700.0,1475.0,5.0,43.0,Hyundai,Noida,Petrol
1085000,2022,3383,3995.0,1770.0,1605.0,5.0,45.0,Hyundai,Mumbai,Petrol
725000,2018,42000,3995.0,1790.0,1640.0,5.0,48.0,Maruti Suzuki,Lucknow,Diesel
1090000,2012,65000,4648.0,1881.0,1661.0,5.0,67.0,BMW,Delhi,Diesel
900000,2019,17000,3999.0,1734.0,1601.0,5.0,40.0,Honda,Ahmedabad,Petrol
3400000,2016,38000,4936.0,1868.0,1479.0,5.0,65.0,BMW,Coimbatore,Diesel
